Cropped trash screen coordinates for each camera location

Location x_min x_max y_min y_max
--------------------------------
Cornwall_BodminFlaxmoor 214 507 328 475
Cornwall_BodminPetrocsWell_Screen 773 918 539 607
Cornwall_BoscastleMarine 252 535 216 597
Cornwall_BudeCedarGrove 170 411 275 424
Cornwall_CawsandCP 301 371 249 309
Cornwall_Crinnis 340 540 300 420
Cornwall_GorranHaven 245 373 215 334
Cornwall_IdlessDam_cam1 520 1222 354 932
Cornwall_KingsandCP 168 429 326 419
Cornwall_KingsandPP 119 406 91 209
Cornwall_LostwithielUP_Screen 571 1041 376 716
Cornwall_LostwithielUP_Upstream 469 686 306 396
Cornwall_LostwithielWW 337 460 210 360
Cornwall_Mevagissey_MainScreen 216 351 351 421
Cornwall_Mevagissey_PreScreen 427 563 104 183
Cornwall_PenrynTP 377 520 225 354
Cornwall_PenzanceCC 256 407 267 340
Cornwall_PenzanceCS 277 488 249 442
Cornwall_PlymCotHill 192 461 206 309
Cornwall_PlymptonChaddlewood_MainScreen 306 1058 718 974
Cornwall_PlymptonForSt 222 482 100 478
Cornwall_PlymptonKay 217 427 260 444
Cornwall_PolperroLangreek 187 388 312 478
Cornwall_PorthlevenScreen 276 417 245 409
Cornwall_Portreath 150 420 285 420
Cornwall_StIvesConsols_Screen 669 1060 475 603
Cornwall_StIvesConsols_Upstream 609 796 192 637
Cornwall_TamertonFoliot 233 458 283 370
Cornwall_WadebridgePolmorla 155 344 220 409
Devon_BarnstapleBradiford 113 325 199 581
Devon_BarnstapleConeyGut_Screen 438 630 338 443
Devon_BarnstaplePortmarshLane 108 496 145 362
Devon_Buckfastleigh 208 1768 621 1054
Devon_Dulverton 162 595 269 477
Devon_Holbeam_Impound 138 391 355 571
Devon_KenwithValleyChannelScreen 116 359 184 429
Devon_LympstoneScreen 369 617 261 441
Devon_OtterySMChapelLane 224 468 178 478
Devon_PalmersDam_Upstream 829 1022 333 605
Devon_SwimbridgeScreen 330 506 139 344
sites_ashtoncollitersbrooksplitter_cam2 237 374 382 575
sites_brutondam_cam1 43 156 209 291
sites_corsham_cam1 185 325 378 572
sites_corshamaqueduct_cam1 1539 1824 654 897
sites_eastville_cam2 635 811 133 211
sites_midsomernorton_cam1 79 283 236 367
sites_minehead_cam1 277 591 259 502
sites_mineheadgate_cam1 234 527 243 476
sites_motcombe_cam1 350 635 424 597
sites_northdrain_cam1 306 406 319 465
sites_pilloutfall_cam1 83 272 118 329
sites_sheptonmallet_cam1 481 786 153 292
sites_sheptonmallet_cam2 504 1258 556 792
sites_sistontunnel_cam1 280 474 267 341
sites_southperrott_cam1 280 367 359 504
sites_stannesscreen_cam1 171 311 205 479
sites_uphill_cam1 332 645 294 435
